Perfume Name,Fragrantica URL
Craze Armaf,https://www.google.com/url?q=https://www.fragrantica.es/perfume/Armaf/Craze-47790.html&sa=U&ved=2ahUKEwjaovHb6KaRAxV90QIHHcHbHBIQFnoECAgQAg&usg=AOvVaw2gB6aSCrxUBQAlg8mn1n0m
The Pride of Armaf For Men Armaf,https://www.google.com/url?q=https://www.fragrantica.com/perfume/Armaf/The-Pride-of-Armaf-For-Men-52255.html&sa=U&ved=2ahUKEwjcjaDh6KaRAxXP1AIHHSi2B54QFnoECAgQAg&usg=AOvVaw30YBPme7TZCF5TmDXCKgPD
Entebaa Rasasi,https://www.google.com/url?q=https://www.fragrantica.es/perfume/Rasasi/Entebaa-23300.html&sa=U&ved=2ahUKEwjR8fLm6KaRAxXy9gIHHdCyGugQFnoECAYQAg&usg=AOvVaw1JI51_In-PPG-CvXLFzz-B
Al Noble Ameer Lattafa Perfumes,https://www.google.com/url?q=https://www.fragrantica.es/perfume/Lattafa-Perfumes/Ameer-82794.html&sa=U&ved=2ahUKEwim-qrs6KaRAxXO3AIHHfjMCwQQFnoECAoQAg&usg=AOvVaw0T9XZ1cVjIHyTALtPtQdmB
Curious Britney Spears,https://www.google.com/url?q=https://www.fragrantica.es/perfume/Britney-Spears/Curious-141.html&sa=U&ved=2ahUKEwiB4_Dz6KaRAxVpzgIHHZFzOV8QFnoECAgQAg&usg=AOvVaw3YxRuEvjEth0SRQ9sMi39R
